"show","season","episode","title","imdb_rating","semantic","vibe","mood_tags"
"""Как я встретил вашу маму""","4","7","""Not a Father's Day""","8.0","""Столкновение между жаждой свободы холостяцкой жизни и пугающей ответственностью родительства. Пока Барни празднует нелепый «анти-праздник», Маршалл и Лили проходят через панику и хаос, пытаясь осознать свою готовность к новому этапу. Эпизод пропитан духом социального давления, иронией над страхами взросления и скрытой тоской по близости. Подойдет тем, кто чувствует тревогу перед важными жизненными переменами и хочет посмеяться над неловкостью принятия судьбоносных решений.""","""Абсурд""","""Страх взросления, Выбор, Социальное давление, Дружба, Неопределенность"""
"""Как я встретил вашу маму""","4","8","""Woooo!""","8.1","""Тед борется за проект мечты в GNB, сталкиваясь с предательством Барни и абсурдной конкуренцией. Параллельно Робин и Лили исследуют феномен «Woo-девушек» — одиноких женщин, скрывающих внутреннюю пустоту за громким весельем. Эпизод пропитан духом офисного соперничества, иронией над социальными масками и финальным триумфом справедливости. Подойдет тем, кто чувствует недооцененность на работе и ищет вдохновляющую историю о вере в свой талант.""","""Триумф""","""Карьера, Социальные маски, Дружба, Успех, Ирония"""
"""Как я встретил вашу маму""","4","9","""The Naked Man""","8.0","""Легендарная теория «Голого мужика» превращает свидания героев в череду нелепых социальных экспериментов и авантюрного риска. Эпизод пропитан духом безумного азарта, иронией над мужским эго и легкостью, помогающей Теду наконец отвлечься от личной драмы. Серия о том, что иногда самый глупый поступок — лучший способ встряхнуться и оставить прошлое позади. Подойдет тем, кто хочет отпустить тяжелые мысли и просто посмеяться над человеческой дерзостью.""","""Абсурд""","""Авантюризм, Свидания, Азарт, Ирония, Встряска"""
"""Как я встретил вашу маму""","4","10","""The Fight""","9.2","""Комичное столкновение ложной маскулинности и хрупкого эго, когда Тед и Барни пытаются присвоить себе славу в реальной драке. Эпизод пропитан иронией над социальным давлением, азартом лжи и внезапным осознанием собственной уязвимости. Серия о том, что истинная сила часто скрыта за внешней мягкостью, а попытки казаться «крутым» ведут лишь к нелепым последствиям. Подойдет тем, кто чувствует на себе груз чужих ожиданий и хочет посмеяться над тщетностью напускной храбрости.""","""Абсурд""","""Ложная крутость, Ирония, Социальное давление, Разоблачение, Дружба"""
"""Как я встретил вашу маму""","4","11","""Little Minnesota""","8.1","""Искусная игра на доверии и поиск своего места в чужом городе, когда приезд непредсказуемой сестры Теда вскрывает старые семейные раны. Эпизод пропитан уютной ностальгией по родине, комичным соперничеством за идентичность и теплотой дружеской поддержки в моменты одиночества. Серия о том, как важно отпускать прошлые обиды ради нового начала. Подойдет тем, кто чувствует тоску по дому или пытается заново поверить близкому человеку.""","""Уют""","""Ностальгия, Семья, Доверие, Дружба, Поиск себя"""
"""Как я встретил вашу маму""","4","12","""Benefits""","8.5","""Непростые попытки Теда и Робин найти баланс между дружбой и влечением приводят к запутанным границам в их сожительстве. Пока герои иронизируют над бытовыми неурядицами, Барни переживает глубокую внутреннюю драму, скрывая искреннюю любовь к Робин за вспышками гнева. Эпизод пропитан атмосферой скрытой тоски, неловкости и невысказанных признаний. Серия о том, как трудно удерживать чувства в секрете, когда привычные правила рушатся. Подойдет тем, кто запутался в «сложных» отношениях и ищет историю о тайной преданности.""","""Кризис""","""Тайная любовь, Границы, Дружба, Неловкость, Осознание"""
"""Как я встретил вашу маму""","4","13","""Three Days of Snow""","8.2","""Атмосферная история о силе традиций и теплоте, согревающей в самый сильный буран. Пока Тед и Барни превращают снежный плен в безумную вечеринку с оркестром, Маршалл и Лили сражаются со стихией, чтобы сохранить свой маленький романтический ритуал. Эпизод пропитан духом искренней любви, уюта и торжества над обстоятельствами. Серия о том, что настоящие чувства стоят любой борьбы. Подойдет тем, кто ценит постоянство в отношениях и нуждается в порции вдохновляющей романтики.""","""Уют""","""Традиции, Верность, Снежная атмосфера, Поддержка, Романтика"""
"""Как я встретил вашу маму""","4","14","""The Possimpible""","8.4","""Робин грозит депортация, и Барни создает для нее абсурдное, но эффективное видеорезюме, пока остальные друзья переосмысливают свои нелепые прошлые достижения. Эпизод наполнен комическим хаосом, иронией над корпоративной культурой и душевной поддержкой в моменты профессионального отчаяния. Серия о вере в невозможное и силе друзей, готовых бороться за тебя до конца. Подойдет тем, кто переживает карьерный кризис и нуждается в порции оптимизма и безумного креатива.""","""Триумф""","""Карьерный кризис, Абсурд, Дружба, Поддержка, Креативность"""
"""Как я встретил вашу маму""","4","15","""The Stinsons""","8.3","""Раскрытие двойной жизни Барни, который годами поддерживал нелепую инсценировку идеальной семьи ради спокойствия матери. Эпизод пропитан духом абсурда, за которым скрывается глубокая эмоциональная уязвимость и страх не соответствовать родительским ожиданиям. Серия о том, что искреннее принятие важнее любых ролей, которые мы вынуждены играть. Подойдет тем, кто чувствует давление со стороны близких и нуждается в теплой истории о честности и безусловной любви.""","""Уют""","""Семья, Тайны, Принятие, Уязвимость, Маски"""
"""Как я встретил вашу маму""","4","16","""Sorry, Bro""","8.7","""Возвращение Теда к токсичной и высокомерной бывшей девушке вызывает волну негодования у друзей, в то время как Маршалл переживает день тотального позора на работе. Эпизод пропитан духом социального дискомфорта, острой иронией над интеллектуальным снобизмом и нелепостью попыток восстановить безнадежные отношения. Серия о том, как важно прислушиваться к мнению близких, когда собственное сердце ведет по ложному пути. Подойдет тем, кто склонен возвращаться к прошлым ошибкам и хочет со стороны посмеяться над абсурдностью пафоса.""","""Абсурд""","""Снобизм, Неловкость, Бывшие, Ирония, Позор"""
"""Как я встретил вашу маму""","4","17","""The Front Porch""","8.2","""Раскрытие многолетних манипуляций Лили, которая тайно разрушала отношения Теда ради идеального образа их совместной старости. Эпизод пропитан духом преданности, осознания истинной ценности дружбы и уютной ностальгии по будущему. Серия о том, что настоящие близкие люди — это те, с кем ты хочешь встретить закат жизни на одном крыльце. Подойдет тем, кто ставит дружбу выше романтики и нуждается в теплой истории о прощении и принятии.""","""Уют""","""Дружба, Верность, Будущее, Прощение, Уют"""
"""Как я встретил вашу маму""","4","18","""Old King Clancy""","8.0","""Ироничная история о ложных фасадах и корпоративном абсурде, когда друзья Теда создают целую подставную организацию, чтобы уберечь его от новости об увольнении. Эпизод пропитан духом нелепых интриг, забавных тайн и финального осознания того, что даже ложь может быть формой заботы. Серия о праве на ошибку и поиске нового пути после карьерного краха. Подойдет тем, кто чувствует давление на работе и хочет отвлечься через добрый фарс.""","""Абсурд""","""Карьера, Ложь во благо, Дружба, Абсурд, Ирония"""
"""Как я встретил вашу маму""","4","19","""Murtaugh""","7.9","""Комичное противостояние Барни и Теда в попытке определить границы дозволенного возрастом через «Список Мёрто». Пока друзья сражаются с последствиями своего упрямства и суровыми методами воспитания Маршалла, эпизод раскрывает тему принятия себя на разных этапах жизни. Серия пропитана иронией над страхом старения и азартом доказать, что драйв не зависит от цифр в паспорте. Подойдет тем, кто чувствует себя «слишком старым» для чего-то и нуждается в порции бодрого оптимизма.""","""Абсурд""","""Кризис возраста, Соперничество, Самоирония, Дружба, Взросление"""
"""Как я встретил вашу маму""","4","20","""Mosbius Designs""","8.1","""Ироничный взгляд на карьерные амбиции и муки невысказанной любви на фоне офисного хаоса. Пока Тед пытается преодолеть страх перед новым начинанием через прокрастинацию, Барни сталкивается с неконтролируемой ревностью, осознавая силу своих чувств к Робин. Эпизод пропитан духом социального соперничества, неловкости и искреннего внутреннего беспокойства. Подойдет тем, кто чувствует неуверенность в себе или пытается скрыть правду за маской безразличия.""","""Кризис""","""Ревность, Прокрастинация, Карьера, Осознание, Неловкость"""
"""Как я встретил вашу маму""","4","21","""The Three Days Rule""","8.3","""Комическая дуэль остроумия внутри компании друзей, когда невинный розыгрыш с «правилом трех дней» перерастает в масштабную мистификацию. Эпизод пропитан духом товарищества, иронией над романтической наивностью и абсурдом ситуаций, где друзья знают тебя лучше, чем ты сам. Серия о том, как опасно идеализировать образ партнера, созданный в переписке. Идеально для тех, кто хочет посмеяться над динамикой отношений в мужской компании и ценит тонкий дружеский троллинг.""","""Абсурд""","""Дружеский троллинг, Азарт, Ирония, Товарищество"""
"""Как я встретил вашу маму""","4","22","""Right Place, Right Time""","8.4","""Глубокая и ироничная притча о силе случая и о том, как миллион мелких, порой нелепых решений ведут нас к главной встрече в жизни. Пока Барни достигает своей сомнительной цели, а Тед ищет искру вдохновения в рутине, судьба сплетает их пути через цепочку удивительных совпадений. Эпизод наполнен оптимизмом, духом фатализма и теплым осознанием того, что в жизни нет лишних поворотов. Подойдет тем, кто сомневается в своем выборе и нуждается в порции веры в счастливое провидение.""","""Романтика""","""Судьба, Предназначение, Оптимизм, Надежда"""
"""Как я встретил вашу маму""","4","23","""As Fast as She Can""","8.7","""Неожиданная встреча со Стеллой заставляет Теда окончательно закрыть прошлую главу и избавиться от накопленной горечи. Эпизод сочетает абсурдный юмор нелепых рабочих предложений Тони с надеждой на будущее. Серия о прощении и вере в то, что важная встреча произойдет именно тогда, когда ты будешь к ней готов. Подойдет тем, кто чувствует усталость от поисков и хочет получить доброе напутствие о грядущем счастье.""","""Романтика""","""Прощение, Надежда, Завершение, Ирония, Вера"""
"""Как я встретил вашу маму""","4","24","""The Leap""","8.0","""Триумфальный финал сезона о мужестве сделать решительный шаг в неизвестность, когда старые пути заходят в тупик. Пока Тед смиряется с профессиональным крахом и находит призвание в преподавании, друзья совершают символический «прыжок веры», открывающий новые горизонты в их жизни и чувствах. Эпизод наполнен духом вдохновения, решительности и осознания того, что каждое падение — это лишь подготовка к взлету. Идеально для тех, кто боится перемен и нуждается в мощном заряде веры в себя и свое будущее.""","""Триумф""","""Решительность, Перемены, Триумф, Надежда, Новый этап"""
"""Как я встретил вашу маму""","5","1","""Definitions""","9.0","""Начало нового жизненного этапа для Теда в роли профессора, сопровождающееся комичной неуверенностью и поисками своего стиля общения. Параллельно Барни и Робин пытаются сохранить привычную легкость, избегая серьезного разговора о чувствах, пока друзья не заставляют их признать очевидное. Эпизод пропитан атмосферой новых начинаний, легкого мандража перед переменами и теплотой зарождающейся близости. Серия о том, как важно давать определения вещам, чтобы двигаться дальше. Подойдет тем, кто стоит на пороге новой работы или запутался в неопределенных отношениях.""","""Уют""","""Новое начало, Неловкость, Признание, Границы, Дружба"""
"""Как я встретил вашу маму""","5","2","""Double Date""","8.1","""Тед случайно повторяет свидание вслепую семилетней давности, пытаясь понять ошибки прошлого, пока друзья ищут первого двойника — стриптизершу, похожую на Лили. Ироничный хаос и нелепые совпадения приводят к важному выводу: не стоит искать того, кто будет лишь терпеть твои странности, нужно ждать того, кто их искренне полюбит.""","""Абсурд""","""Двойники, Свидание вслепую, Поиск идеала, Принятие себя, Юмор"""
"""Как я встретил вашу маму""","5","3","""Robin 101""","8.0","""Барни боится расставания и тайно посещает лекции Теда под названием «Робин 101», чтобы досконально изучить привычки своей девушки. Комичная и нелепая ситуация перерастает в искреннее признание: даже самому убежденному холостяку порой нужно «сесть за парту», чтобы научиться понимать и беречь любимого человека.""","""Абсурд""","""Курс лекций, Работа над собой, Секреты, Отношения, Юмор"""
"""Как я встретил вашу маму""","5","4","""The Sexless Innkeeper""","8.3","""Лили и Маршал отчаянно навязывают Барни и Робин формат «идеальных двойных свиданий», создавая атмосферу неловкого давления. Комичное противостояние энтузиазма и желания сбежать сменяется ревностью и осознанием ценности дружбы. Смысл в том, что даже самые нелепые общие традиции — это то, что связывает близких людей крепче всего.""","""Абсурд""","""Двойные свидания, Социальная неловкость, Дружба, Ревность, Поиск баланса"""
"""Как я встретил вашу маму""","5","5","""Duel Citizenship""","8.0","""Робин борется за право остаться в США, разрываясь между корнями и новой жизнью, а Тед и Маршал отправляются в прощальный роуд-трип за легендарной пиццей. Эпизод пропитан духом авантюризма, нелепых стереотипов и ностальгии. Это история о поиске идентичности и о том, что дружба важнее любых дорожных разногласий.""","""Абсурд""","Роуд-трип, Идентичность, Дружба, Канада, Ностальгия"""
"""Как я встретил вашу маму""","5","6","""Bagpipes""","7.9","""Тед страдает от «игры на волынках» шумных соседей, пока Маршал пытается применить вредные советы Барни о доминировании в браке. Комичное столкновение разных моделей поведения обнажает правду: Барни и Робин лишь имитируют идиллию. Эпизод учит, что честный спор и принятие партнера лучше, чем фальшивое совершенство.""","""Абсурд""","""Ссоры, Соседи, Вредные советы, Отношения, Компромисс"""
"""Как я встретил вашу маму""","5","7","""The Rough Patch""","8.0","""Отношения Барни и Робин зашли в тупик: они теряют свой блеск и превращаются в унылую пару, что вынуждает друзей вмешаться. Через нелепый план с интригами герои осознают, что вместе они тянут друг друга на дно. Это важный момент принятия того, что иногда «вернуться к дружбе» — лучшее решение для обоих.""","""Кризис""","""Разрыв, Дружба, Работа над собой, Честность"""
"""Как я встретил вашу маму""","5","8","""The Playbook""","8.4","""Барни проворачивает аферу в водолазном костюме, делая друзей соучастниками своей «Книги наставлений». Комичный абсурд и мастерская манипуляция чувствами превращают пикап в спектакль. Это история о том, как герой прячет боль от разрыва за маской игрока, для которого жизнь — лишь череда эффектных сценариев.""","""Абсурд""","""Манипуляция, Водолаз, Новое знакомство, Маскировка"""
"""Как я встретил вашу маму""","5","9","""Slapsgiving 2: Revenge of the Slap""","9.1"," ""День благодарения Лили сталкивается с прошлым в лице отца, а Тед и Робин никак не могут поделить право на пощечину для Барни. Эмоциональные качели от семейной обиды до комичного ожидания удара приводят к примирению. Смысл в прощении близких и в том, что даже старые раны могут зажить за праздничным столом.""","""Уют""","""Семья, Прощение, Праздник, Настольные игры"""
"""Как я встретил вашу маму""","5","10","""The Window""","8.7","""Тед пытается поймать редкий момент, когда «окно возможностей» для свидания с идеальной Мэгги открыто, пока Маршал оценивает свои достижения через письмо из прошлого. Ироничная погоня за счастьем перерастает в трогательную историю о том, что истинная любовь находит нас сама, а жизнь порой оказывается лучше детских фантазий.""","""Романтика""","""Окно возможностей, Письмо в будущее, Поиск себя, Настоящая любовь, Ностальгия"""
"""Как я встретил вашу маму""","5","11","""Last Cigarette Ever""","8.1","""Вся компания поддается вредной привычке, пытаясь справиться со стрессом на работе, но вскоре осознает разрушительные последствия курения. Ироничная борьба с зависимостью переплетается с профессиональным кризисом Робин и поисками баланса. Смысл в том, что по-настоящему важные жизненные перемены становятся лучшим стимулом для отказа от старых слабостей.""","""Кризис"""," ""Вредные привычки, Карьера, Дружеская поддержка, Жизненные вехи, Борьба со стрессом"""
"""Как я встретил вашу маму""","5","12","""Girls Versus Suits""","8.3","""Тед знакомится с Синди и находит вещи своей «той самой», так и не встретив владелицу, а Барни устраивает грандиозный мюзикл, выбирая между девушкой и любовью к костюмам. Ироничная атмосфера сочетается с трепетом судьбоносного момента. Важные встречи часто случаются в шаге от нас, а верность себе остается главной ценностью.""","""Абсурд""","""Мюзикл, Костюмы, Судьба"""
"""Как я встретил вашу маму""","5","13","""Jenkins""","9.1","""Маршал пытается доказать Лили, что он не «догоняющий» в паре, после случайного поцелуя коллеги, пока студенты Теда превращают эфиры Робин в опасную алко-игру. Нелепое столкновение самолюбий оборачивается дракой и тяжелым похмельем. В любви нет места иерархии, а попытки вызвать ревность ведут лишь к хаосу.""","""Абсурд""","""Ревность, Иерархия, Теория отношений, Юмор"""
"""Как я встретил вашу маму""","5","14","""Perfect Week""","8.0","""Барни пытается совершить «идеальную неделю», соблазнив семь девушек подряд, чтобы отвлечься от угрозы увольнения. На фоне личных неудач остальных друзей его безумная затея становится общим символом победы. Командная поддержка помогает героям пережить кризис и превратить нелепый вызов в легендарный триумф.""","""Триумф""","""Идеальная неделя, Спортивный азарт, Поддержка друзей, Успех"""
"""Как я встретил вашу маму""","5","15","""Rabbit or Duck""","9.0","""В День святого Валентина Барни становится заложником собственного успеха из-за бесконечных звонков, а Робин пересматривает отношение к коллеге через призму теории «Кролика-утки». Хаотичный поиск любви и нелепые свидания подчеркивают ироничность праздника. Даже в череде неудач герои находят поводы для сближения и профессионального роста.""","""Романтика""","""День святого Валентина, Выбор"""
"""Как я встретил вашу маму""","5","16","""Hooked""","8.1","""Тед попадает в ловушку неопределенности, удерживая одну девушку «на крючке» и сам страдая от манипуляций другой. Ироничный круговорот ложных надежд достигает апогея, когда случайное падение кольца превращается в ложную помолвку. История учит вовремя говорить «нет», чтобы не дарить людям пустых ожиданий.""","""Абсурд""","""Манипуляция, Ложные надежды, Честность, Юмор"""
"""Как я встретил вашу маму""","5","17","""Of Course""","8.0","""Барни пытается соблазнить автора книги о свиданиях, но становится жертвой её метода «Нет», пока друзья осознают свою бестактность по отношению к Робин. Комедийная борьба эго сменяется честным раскаянием: по-настоящему извиниться перед бывшим партнером — значит уступить свой триумф ради его счастья.""","""Абсурд""","""Извинение, Двигаться дальше"""
"""Как я встретил вашу маму""","5","18","""Say Cheese""","8.2","""Лили отмечает 32-летие, а Тед приводит на праздник очередную случайную пассию, рискуя вновь испортить памятное групповое фото. Комедийная погоня за неудачным кадром Барни сменяется трогательным осознанием: общие снимки — это живая история дружбы, где со временем остаются лишь самые близкие люди.""","""Уют""","""День рождения, Фотографии, Дружба, Поиск идеала"""
"""Как я встретил вашу маму""","5","19","""Zoo or False""","8.1","""Маршал оказывается в центре нелепого скандала, запутавшись в версиях собственного ограбления — от уличного преступника до обезьяны с бананом. Абсурдная путаница обрастает слухами и мешает карьере Робин, превращаясь в пародию на «Кинг-Конга». Это история о том, как одна маленькая ложь может разрастись до масштабов городского сумасшествия.""","""Абсурд""","""Ложь, Телевидение"""
"""Как я встретил вашу маму""","5","20","""Home Wreckers""","8.0","""Свадьба матери подталкивает Теда к импульсивной покупке ветхого дома, становясь символом его отчаянной жажды семейного гнезда. Пока Барни и Робин спорят о минутной слабости, друзья помогают Теду принять несовершенство реальности через разрушение старых стен. Это момент веры в будущее, которое строится из руин и надежд.""","""Кризис""","""Новый дом, Свадьба матери, Поиск смысла, Поддержка друзей, Будущее"""
"""Как я встретил вашу маму""","5","21","""Twin Beds""","8.3","""Робин решает съехаться с Доном и ради него дистанцируется от друзей-бывших, оставляя Теду лишь синюю валторну в пустой комнате. Пьяные признания Теда и Барни подчеркивают их нежелание отпускать прошлое. Грустное прощание с целой эпохой заставляет героев осознать, что для начала чего-то нового иногда нужно оставить привычный круг общения.""","""Меланхолия""","""Переезд, Расставание, Ревность, Взросление"""
"""Как я встретил вашу маму""","5","22","""Robots Versus Wrestlers""","8.0","""Тед выбирает светский раут вместо битвы роботов с борцами, пытаясь убежать от «незрелости» друзей, пока Барни всерьез пугается того, что компания распадается. Интеллектуальное одиночество сменяется осознанием: традиции и общие воспоминания важнее амбиций. Даже отдаляясь, близкие люди всегда находят путь друг к другу.""","""Абсурд""","""Дружба, Интеллектуалы, Традиции"""
"""Как я встретил вашу маму""","5","23","""The Wedding Bride""","8.4","""Тед в ужасе узнает, что его неудачный роман со Стеллой превратили в кассовый кинохит, где он выставлен злодеем. Пытаясь справиться с обидой и ярлыком «брошенного у алтаря», он ищет понимания у новой девушки, но обнаруживает у неё целый ворох пугающих секретов. Истинный смысл в том, что у каждого есть прошлое, и главное — не стать его заложником.""","""Кризис""","""Багаж прошлого, Отношения, Неудачное свидание, Ирония"""
"""Как я встретил вашу маму""","5","24","""Doppelgangers""","8.7","""Лили и Маршал ищут последнего двойника, чтобы наконец решиться на ребенка, а Робин жертвует карьерой ради любви, только чтобы столкнуться с предательством. Взаимная поддержка друзей помогает пережить разочарование и принять новый этап жизни. Важные знаки судьбы приходят тогда, когда мы к ним по-настоящему готовы.""","""Романтика""","""Планирование ребенка, Разрыв, Жертвенность, Перемены"""
"""Как я встретил вашу маму""","6","1","""Big Days""","8.5","""Тед случайно встречает бывшую девушку Синди и узнает о её неожиданном счастье, а Лили и Маршал борются с давлением ожиданий в попытках зачать ребенка. Череда нелепых споров о «праве первой ночи» и «сроке годности красоты» ведет к важному откровению: судьба готовит встречу в самый неожиданный момент. Конец серии дает первый намек на будущее место встречи с Мамой.""","""Романтика""","""Судьба, Давление семьи, Лучший друг, Свадьба, Признание"""
"""Как я встретил вашу маму""","6","2","""Cleaning House""","8.1","""Барни прощается с домом детства и сталкивается с правдой о своем отце, осознавая, сколько лжи его мать сочинила, чтобы уберечь его от одиночества. Момент истины приносит горькое облегчение и глубокую благодарность матери, которая заменила ему обоих родителей. Это трогательная история о принятии своего прошлого и силе семейной любви.""","""Меланхолия""","""Семья, Детство, Принятие, Благодарность"""
"""Как я встретил вашу маму""","6","3","""Unfinished""","8.0","""Барни использует пикап-технологии, чтобы уговорить Теда спроектировать здание, превращая деловое предложение в азартную игру. Пока Тед борется с принципами, Робин пытается разорвать эмоциональную связь с бывшим, избавляясь от его номера телефона. История показывает, что иногда нужно поддаться манипуляции или забыть лишнее, чтобы сделать шаг навстречу мечте.""","""Триумф""","""Карьера, Манипуляция, Двигаться дальше, Профессия, Дружба"""
"""Как я встретил вашу маму""","6","4","""Subway Wars""","8.1","""Друзья устраивают гонку по Нью-Йорку, чтобы увидеть Вуди Аллена, попутно соревнуясь за звание «настоящего горожанина». За азартным забегом скрываются личные кризисы каждого: от неудачных попыток зачать ребенка до карьерных обид Робин. В итоге победа достается той, кому она нужнее всего, доказывая, что дружба — это умение вовремя уступить.""","""Кризис""","""Гонка, Нью-Йорк, Самоопределение, Поддержка, Городские легенды"""
"""Как я встретил вашу маму""","6","5","""Architect of Destruction""","8.6","""Тед разрывается между мечтой построить небоскреб и симпатией к активистке Зои, которая защищает старинный отель от сноса. Пока Маршал переживает из-за излишней откровенности женских разговоров, Тед осознает, что его «архитектурные принципы» были лишь попыткой впечатлить замужнюю женщину. Это ироничное исследование того, как личные чувства влияют на большие решения.""","""Абсурд""","""Протест, Тайные разговоры, Честность, Влюбленность"""
"""Как я встретил вашу маму""","6","6","""Baby Talk""","8.0","Нет информации","""Нет информации""","Нет информации"
"""Как я встретил вашу маму""","6","7","""Canning Randy""","8.0","""Тед борется за авторитет в классе, который захватила протестующая Зои, а Маршал пытается уволить некомпетентного Рэнди так, чтобы это принесло пользу. Череда нелепых ситуаций — от рекламы подгузников до домашнего пивоварения — показывает, что успех часто приходит через ошибки и умение идти против течения ради мечты.""","""Абсурд""","""Карьера, Хэллоуин, Мечта, Принципы"""
"""Как я встретил вашу маму""","6","8","""Natural History""","8.1","""Герои посещают вечер в Музее естествознания, где за блеском костюмов скрываются личные драмы: Барни узнает правду о своем отце, а Маршал отказывается от мечты ради стабильности. Тед ищет общий язык с Зои и Капитаном, сталкиваясь с честностью там, где её не ждал. Это история о взрослении и принятии того, что старые идеалы неизбежно меняются.""","""Меланхолия""","""Тайны прошлого, Взросление, Принципы, Семья"""
"""Как я встретил вашу маму""","6","9","""Glitter""","8.2","""Лили боится потерять дружбу с Робин из-за своей одержимости детьми, в то время как прошлое Робин в образе канадской звезды всплывает в виде двусмысленного шоу «Космические подростки». Через смех над нелепыми песнями и встречу со старыми друзьями герои понимают: истинная привязанность сильнее жизненных перемен и новых ролей.""","""Уют""","""Дружба, Прошлое"""
